id,indexed_date,language,media_name,media_url,publish_date,title,url,Text
b090f33394a3faea50c2c81c60bd94c79e078e5a7aa96525aadda904314478f0,2026-03-29 12:24:48.597557+00:00,en,thehindu.com,thehindu.com,2019-05-18,The foot soldiers of Hindutva in West Bengal,https://www.thehindu.com/opinion/op-ed/the-foot-soldiers-of-hindutva-in-west-bengal/article62005715.ece,"On an oppressively hot day in Baruipur, 50 km south of Kolkata, in South 24 Parganas district, Swarup Dutta sits in a shop crammed with stabilisers and inverters. He slowly sips his morning tea while chatting with three middle-aged men. Outside, banners of the Trinamool Congress showing the grim visage of Chief Minister Mamata Banerjee are erected. But that doesn’t reflect the political leanings of the four men inside. Dutta is one of the founders of the Hindu Jagran Manch, an organisation affiliated to the Viswa Hindu Parishad (VHP), in Baruipur. The Hindu Jagran Manch, according to its website, aims to “enable social harmony and Hindu unity, propagate in public interest Hindu myths, and rehabilitate the victims of love jihad,” among other things. The four men discuss the ongoing general election, which has been marred by violence in West Bengal. Much has changed in the eastern State in just a decade. The West Bengal political landscape underwent a transformation in 2011 when the Trinamool rode to power, bringing to an end the Left Front’s 34-year rule. Eight years from then, the contest is not between the Trinamool and the Left, or even the Trinamool and the Congress. A new national"
614ad43da5ac6cdde9c7774024be1d34b436d0e5f72b643df3705f4e3be151d7,2026-03-28 22:21:36.737289+00:00,en,thehindu.com,thehindu.com,2018-04-25,The Karnataka election is our gateway to the south: Amit Shah,https://www.thehindu.com/opinion/interview/the-karnataka-election-is-our-gateway-to-the-south/article61450260.ece,"How do you frame these elections in Karnataka, with a view to 2019 and other issues? I believe that there are three issues which are important in Karnataka . One is the development yatra under (Prime Minister) Narendra Modi, on which Karnataka has fallen behind. The Bharatiya Janata Party (BJP) wants to take Karnataka along as well. Second, after 1967, caste, dynasty and appeasement have affected the electoral politics of this country, and we want to change this to a politics of performance. This means development, and he who prioritises that should be given the opportunity to govern. We want to take politics to that level. Third, from the point of view of the BJP, we are looking at this election as a ‘gateway to the south’. But, as a political party, the BJP also indulges in caste politics. You do bank on support from certain castes and communities while fighting polls. There is a difference between the two things. If a candidate, at the MLA or chief ministerial level, gets an advantage of belonging to a particular caste while fighting polls, that is one thing. But after having been elected, if you only look after the developmental needs of"
cf3e0ddddc29f8f3cd82270778718a00548b81afa2dc9fc16ddb067af28285cb,2025-09-16 17:14:47.239635+00:00,en,thehindu.com,thehindu.com,2013-05-14,A landmark,http://www.thehindu.com/opinion/letters/a-landmark/article4712268.ece,"The just concluded election in Pakistan should be hailed as a landmark in its democratic progress. PML (N) leader Nawaz Sharif is set to return to power at a time when the country is facing major challenges, including a stalled economy, growing extremism and serious threats from Taliban insurgency. For the first time in 66 years of its existence, Pakistan has seen one elected government complete a full five-year term. It will hand over power to another elected government in the ountry vulnerable to military takeovers. It is indeed a resounding victory for democracy. Waris Shere, Winnipeg But given the volatile nature of the country, it will not be easy for democracy to flourish. Undemocratic elements are on the lookout for gaps and lapses to create challenges. It is Imran Khan who should be most worried. The Pakistan Tehreek-e-Insaf has won the highest number of seats in the tribal belt of Khyber Pukhtunkhwa — the breeding ground for armed militia groups, including the Tehreek-i-Taliban Pakistan, which was formed in December 2007. The leadership of both Mr. Sharif and Mr. Khan will be put to the test in a country where social receptivity to democracy is still very lukewarm. Manzar Imam,"
f5dc390a47fa827b9edb41e9bea4e4b6cfdc19c159d0ae6f70f03c8bc94656c7,2025-09-15 19:47:13.028494+00:00,en,thehindu.com,thehindu.com,2013-04-06,Rahul’s day out,http://www.thehindu.com/opinion/editorial/rahuls-day-out/article4585411.ece,"In the season of electoral hardsell, Rahul Gandhi has chosen to portray his party, government and himself as they are, warts and all. Not surprisingly, the pundits are tearing their hair: What could be the strategy behind a potential Prime Minister telling his voters not to entertain any hopes from him? Indeed, there were puzzling aspects to Rahulspeak, the platform for which was provided by India Inc. The Congress vice-president made no business pitch to the captains of industry as might have been expected of a political leader newly appointed to a strategic position in the ruling party. No invitation to invest, no assurances to ease the red tape, and no pleas for support. If this was odd, odder still was the Congress second-in-command’s refusal to woo the electorate with the kind of largesse and promises mandatorily handed out ahead of a critically important general election. Rahul’s speech was like a soliloquy: it was as if he was throwing questions at himself, exploring his own dilemmas, doubts and weaknesses and concluding that perhaps there were no answers. Rahul might have been a philosopher contemplating the mysteries of the world rather than a hard-nosed politician fighting to save his battered party"
dfebba41cbd2c68094a03190d4b84d7fbee6434322861669e65ce49bbab7cb73,2025-09-15 09:53:08.559244+00:00,en,thehindu.com,thehindu.com,2013-05-03,"In Malaysia, new election tests old loyalties",http://www.thehindu.com/opinion/op-ed/in-malaysia-new-election-tests-old-loyalties/article4677412.ece,"Malaysia will hold its 13th parliamentary elections on May 5 against a backdrop of acrimonious debate relating to misuse of power, communalism and nation building, corruption and crime. In order to evaluate the major issues before the electorate (13 million voters, of whom 25 per cent will be voting for the first time), it is essential to keep in mind the changing nature of Malaysia’s political system. First, the demographic change. On the eve of independence, on August 31, 1957, the Malays, who consider themselves as the Bhumiputras (sons of the soil) constituted 49.8 per cent, Chinese 37.1 per cent and Indians 11.1 per cent. When Malaysia was formed in 1963, with the incorporation of Singapore, Sabah and Sarawak, the Chinese were the largest single minority, 42.2 per cent, Malays 39.2 per cent, Indians 9.4 per cent and the indigenous people of Sabah and Sarawak 7.0 per cent. Today (with Singapore out of Malaysia), the Malays, including the indigenous people of Sabah and Sarawak, constitute 61.4 per cent; Chinese 24.0 per cent, Indians 7.0 per cent and others 7.8 per cent. Given the large proportion of non-Malays in the population and in order to retain Malay political supremacy, on the"
644f9a6cf609e673cb1b22d9ead120a89eb40c5e01f65efc7d5bbeb8aefcf85d,2025-09-15 07:46:11.845495+00:00,en,thehindu.com,thehindu.com,2013-05-09,Karnataka verdict,http://www.thehindu.com/opinion/letters/karnataka-verdict/article4696273.ece,"The Karnataka electorate has done its job, voting out what was perhaps the most corrupt and inefficient government in the State. It has also ensured that there is no hung Assembly, by giving the Congress the necessary numbers to run a stable government. But the Grand Old Party should be mindful of the fact that the verdict is more against the BJP than in favour of the Congress. It should work hard to give people the long-awaited corruption free, development-oriented governance. C.K. Saseendran, Bangalore The Congress should bear in mind that the verdict is not an endorsement of its policies but a rejection of the BJP. The people of Karnataka could no longer tolerate political instability and the infighting in the BJP. The election results are certainly not indicative of the 2014 general election outcome. Only local issues determined the Karnataka verdict. N. Nageswaran, Chennai It is heartening that the Karnataka electorate has given a decisive verdict. The end result — a fitting lesson to an individual who felt he was above his party and challenged it using caste calculations. What the Congress has got is no doubt a negative vote but it is also an opportunity for the party"
c57b63882718a09fe9dbdaeeb44ac87263ded2829daa291e2227d905e4bb4c45,2025-09-15 07:25:15.411385+00:00,en,rediff.com,rediff.com,2013-05-10,BJP follows Congress path of ruin,http://www.rediff.com/news/report/column-bjp-follows-congress-path-of-ruin/20130510.htm,"'If the BJP government in Karnataka's activities fostered dissidence, the Gadkari era saw the same sin crop up elsewhere, notably in Uttarakhand.' 'Gadkari's leadership saw the BJP drift away from its moral moorings,' argues T V R Shenoy. 2013 is my 48th straight year as a journalist in Delhi. But right now my memory is rolling back the decades, back to when I had been working in the capital for 'just' ten years, specifically to June 12, 1975. May 8, 2013 started with the results of the Karnataka assembly polls; the day ended with the Supreme Court's strictures against the Union law minister (and his cohorts) making the headlines. In 1975 too, reporters faced the same problem of plenty -- an assembly election result and an historic court hearing on the same day -- but without the benefits of the Internet and mobile phones, and while both radio (still the principal electronic medium) and television were still 'caged parrots speaking in their masters' voice.' The ruling referred to was the famous Allahabad high court judgment, wherein Justice Jagmohan Lal Sinha set aside Indira Gandhi's election from Rae Bareli in the 1971 general election. Indira Gandhi had beaten Raj Narain (fighting"
d869b966b96b9098f2a44dc4edf86c7ba33c906fec94c5bc4450a9ba3bd0805d,2025-09-15 06:43:27.703869+00:00,en,thehindu.com,thehindu.com,2013-05-13,A blow for democracy,http://www.thehindu.com/opinion/letters/a-blow-for-democracy/article4709301.ece,"It is heartening to note that Nawaz Sharif’s PML (N) has forged ahead in the Pakistan election and is set to lead the next government. The people of Pakistan, who turned out in good numbers to vote, braving the threats issued by the Tehreek-e-Taliban Pakistan, deserve to be lauded for their courage. They have placed a huge responsibility on the winning political parties to ensure that there is a smooth democratic transition. India should do everything possible to help its neighbour build strong democratic institutions. For bilateral issues to be resolved amicably, it is important for democracy in Pakistan to sustain. P. Senthil Saravana Durai, Vazhavallan History has been created in Pakistan with the first-ever transition of power from one civilian government to another. The voters need to be congratulated on exercising their franchise, braving bullets and bombs, and ignoring the TTP’s menacing threats. Going by the significant voter turnout, it is abundantly clear that the people of Pakistan have re-affirmed their faith in the electoral process, demonstrating an eagerness to ensure that their hard-earned democracy stays well on track. Nalini Vijayaraghavan, Thiruvananthapuram People of the Land of Pure have sent a strong message to the fundamentalist forces. They have"
e53bf7ef422e9b9ecc1e64651ea14a0c7ffb82b74a11d8598410d4ffd66ee8c7,2025-09-15 06:43:03.637257+00:00,en,thehindu.com,thehindu.com,2013-05-13,Pakistan’s vote for change,http://www.thehindu.com/opinion/editorial/pakistans-vote-for-change/article4709298.ece,"Ahistoric election has just been held in Pakistan, enabling a transition from one civilian government to another for the first time in its 65-year existence. In the run-up, an orgy of violence unleashed by the Taliban threatened to overwhelm the country’s date with democracy, but democratic change was what the people wanted and they turned out in large numbers to vote out the Pakistan People’s Party, whose five-year term was marked by an abysmal absence of governance. While the Pakistan-Tehreek-e-Insaf — led by Imran Khan — disrupted what has traditionally been a two-horse race with its heady new slogan of a New Pakistan, the electorate preferred to vest its trust in more experienced hands. The Pakistan Muslim League (N) of Nawaz Sharif — whose second term as Prime Minister was terminated by the 1999 military coup that brought General Pervez Musharraf to power — is on course to win enough seats in the 272-strong National Assembly to form the government. Its centre-right agenda, similar to Imran’s but offering more details and stability, clearly touched a chord in a population that is increasingly suspicious of the U.S. but also knows the country cannot live in isolation. Even so, this election offers"
c27f2a6bf9033008719ef4164a97b66c48060280631d24d11f79ec79e4e75ee8,2025-09-15 02:28:28.969563+00:00,en,thehindu.com,thehindu.com,2013-05-23,Mission Modi,http://www.thehindu.com/opinion/editorial/mission-modi/article4740225.ece,"The Bharatiya Janata Party has done the expected in presenting a trenchant charge sheet coinciding with the commencement of the United Progressive Alliance’s final year in office. Like any Opposition worth its salt, the BJP loves a good fight and the Manmohan Singh government has made the competition’s job easy by getting almost everything wrong in its second term. Unfortunately, if the ruling alliance has erred without respite, the principal Opposition too has ceaselessly played shouting brigade with little to show for its exertions. Now comes a twist in the tale in the form of Narendra Modi’s dramatic entry in affairs so far strictly the business of the BJP’s central leadership. Since his admission into the BJP’s elite Parliamentary Board, the Gujarat Chief Minister has made Delhi his second home, and logged impressive hours meeting the who’s who of his party. On Tuesday he took his new role to the next level with a strong intervention in the Parliamentary Board. His pitch: the BJP must get real in its war against the government, and to do this it must harness the social media’s potential and focus on its own performing governments such as in Gujarat. Mr. Modi knows his strengths"
